datetime,Time,headline,ticker,sentiment
10/06/2019,11:29:00,Barclays Trims 3M $MMM Target Price to $158.00  #stocks,MMM,0
10/03/2019,22:30:00,3M $MMM PT Lowered to $158.00  #stocks,MMM,0
10/03/2019,09:32:00,3M $MMM Hits New 52-Week Low at $150.81 ,MMM,0
10/01/2019,01:59:00,3M $MMM PT Lowered to $173.00 at Morgan Stanley ,MMM,0
09/28/2019,06:52:00,3M $MMM Price Target Lowered to $173.00 at Morgan Stanley ,MMM,0
09/27/2019,08:30:00,Morgan Stanley Trims 3M $MMM Target Price to $173.00  #stocks,MMM,0
08/27/2019,17:30:00,3M Co $MMM Sees Significant Drop in Short Interest  #stocks,MMM,0
08/15/2019,14:43:00,3M $MMM Hits New 52-Week Low at $157.20 ,MMM,0
08/14/2019,05:36:00,3M Co Announces Quarterly Dividend of $1.44 $MMM ,MMM,1
08/10/2019,15:46:00,3M $MMM Price Target Lowered to $140.00 at JPMorgan Chase & Co. ,MMM,0
08/07/2019,17:22:00,3M $MMM ¡V Analysts¡¦ Recent Ratings Updates ,MMM,1
08/07/2019,17:20:00,3M $MMM ¡V Analysts¡¦ Recent Ratings Updates  #stocks,MMM,1
08/07/2019,10:44:00,3M Co $MMM Declares $1.44 Quarterly Dividend   #markets,MMM,1
08/05/2019,14:42:00,"John Patrick Banovetz Sells 1,040 Shares of 3M Co $MMM Stock  #stocks",MMM,0
08/02/2019,15:51:00,RT @realmoney: This dividend king proves its resilience again and again. @NickJMcCullum has more on $MMM ,MMM,1
08/02/2019,10:53:00,3M $MMM Upgraded to ¡§Hold¡¨ by Zacks Investment Research ,MMM,1
08/01/2019,02:03:00,3M $MMM Upgraded at Zacks Investment Research  #stocks,MMM,1
08/01/2019,02:00:00,Morgan Stanley Raises 3M $MMM Price Target to $177.00 ,MMM,1
08/01/2019,02:00:00,3M $MMM Upgraded at Zacks Investment Research ,MMM,1
07/29/2019,15:43:00,3M $MMM PT Raised to $177.00 at Morgan Stanley  #stocks,MMM,1
07/29/2019,07:45:00,3M $MMM Price Target Raised to $177.00 at Morgan Stanley ,MMM,1
07/29/2019,07:44:00,3M $MMM Price Target Raised to $177.00 at Morgan Stanley   #markets,MMM,1
07/25/2019,13:41:00,"3M $MMM Issues Earnings Results, Beats Expectations By $0.16 EPS   #markets",MMM,1
07/25/2019,11:05:00,We cut em 30% loss $MMM pivot and ema reclaimed but no follow through ,MMM,0
07/25/2019,05:45:00,"3M Q2 EPS $2.2 Beats $2.06 Estimate, Sales $8.171B Beat $8.03B Estimate $MMM  @benzinga",MMM,1
07/25/2019,05:28:00,$mmm guidance flat ,MMM,0
07/25/2019,04:26:00,"$MMM beats EPS and Revenues. Stock at 188+ premarket. Those AUG.16, 2019 C180 nailed it well ",MMM,1
07/25/2019,03:48:00,$MMM beats the Estimize EPS Consensus by 12c and the Estimize Revenue Consensus by $142.82M. Reports FQ2 earnings o¡K ,MMM,1
07/25/2019,03:33:00,$MMM Sales were down 2.6 percent,MMM,0
07/25/2019,03:32:00,"$MMM - 3M EPS beats by $0.13, beats on revenue ",MMM,1
07/24/2019,11:03:00,"$MMM Higher, Lower or Flat on Earnings Tomorrow BEFORE the Open? #SentimentGauge",MMM,0
07/16/2019,02:21:00,3M $MMM PT Lowered to $182.00 at UBS Group ,MMM,0
07/14/2019,01:58:00,3M $MMM Price Target Cut to $182.00 by Analysts at UBS Group ,MMM,0
07/12/2019,07:44:00,3M $MMM Price Target Lowered to $182.00 at UBS Group  #stocks,MMM,0
07/10/2019,21:50:00,$MMM 3M Stock Is More Than Just a Dividend Darling  - my article for @InvestorPlace $SLV¡K ,MMM,1
07/10/2019,11:29:00,$MMM going to report a bad qtr.. stk selling off here... broke high w/ futures and has been rolling over all day...¡K ,MMM,1
07/10/2019,10:45:00,$MMM 3M Stock Is More Than Just a Dividend Darling  -- my article for @InvestorPlace $SLV¡K ,MMM,1
07/10/2019,00:35:00,3M $MMM Rating Lowered to Sector Perform at Royal Bank of Canada ,MMM,0
07/09/2019,06:07:00,"$MMM (-1.6% pre) RBC Capital Downgrades 3M (MMM) to Sector Perform, $176 PT",MMM,0
07/09/2019,02:06:00,"With reputation 'eroding,' RBC downgrades 3M to Sector Perform $MMM ",MMM,0
07/08/2019,20:38:00,RBC Cuts 3M To Sector Perform From Outperform   $MMM,MMM,1
07/08/2019,19:46:00,Royal Bank of Canada Downgrades 3M $MMM to Sector Perform  #stocks,MMM,0
06/27/2019,07:48:00,Bank of America Trims 3M $MMM Target Price to $185.00  #stocks,MMM,0
06/27/2019,03:04:00,3M $MMM PT Lowered to $185 at BofA/Merrill Lynch ,MMM,0
06/20/2019,08:14:00,$MMM  DOESNT GO DOWN EVERY SINGLE F'N DAY ANYMORE ??,MMM,0
06/14/2019,09:18:00,$MMM $XLU:Buy 3M for Its Dividend and Becoming ¡¥Too Cheap to Ignore¡¦:,MMM,1
06/07/2019,03:08:00,Citigroup Trims 3M $MMM Target Price to $197.00  #stocks,MMM,0
06/07/2019,03:00:00,Citigroup Trims 3M $MMM Target Price to $197.00 ,MMM,0
06/04/2019,04:42:00,"$MMM - 3M Company: Finally, A Great Dividend Growth Company Becoming A Good Investment ",MMM,1
05/29/2019,08:22:00,3M $MMM Hits New 12-Month Low at $162.12 ,MMM,0
05/27/2019,09:07:00,"$MMM punished after a rough earnings report (guidance, layoffs, etc), now with an inside day at downward trend line¡K ",MMM,0
05/22/2019,20:59:00,The industry average ROA is -9.21%. $MMM outperforms 94% of its industry peers.  ,MMM,1
05/22/2019,02:04:00,"$MMM - Despite Recent Concerns, 3M Dividend Is Unlikely To Be Cut ",MMM,0
05/21/2019,03:02:00,Taurus Asset Management LLC Upped Its 3M Co $MMM Stake by $4.19 Million ,MMM,1
05/20/2019,14:34:00,"3M Co $MMM Insider Joaquin Delgado Sells 5,400 Shares  #stocks",MMM,0
05/20/2019,12:15:00,$MMM down $11.00 from suggested short entry - Price target $136.00 area. ,MMM,0
05/20/2019,11:33:00,$MMM - 3M Company: I'm Not Buying This Dividend Aristocrat Into Weakness Just Yet ,MMM,1
05/20/2019,08:20:00,"David B. Dillon Purchases 1,200 Shares of 3M Co $MMM Stock  #stocks",MMM,1
05/17/2019,12:43:00,Analysts¡¦ Weekly Ratings Updates for 3M $MMM  #stocks,MMM,1
05/17/2019,04:19:00,$MMM - 3M dips after PT cut at JPMorgan ,MMM,0
05/16/2019,03:14:00,Grantham Mayo Van Otterloo & Co LLC Has Raised 3M Co $MMM Holding ,MMM,1
05/15/2019,14:21:00,3M Co $MMM Announces Quarterly Dividend of $1.44  #stocks,MMM,1
05/15/2019,14:19:00,3M Co to Issue Quarterly Dividend of $1.44 $MMM   #markets,MMM,1
05/14/2019,06:18:00,"@farrisbaba $MMM OI for JUL 200 calls is ~9K, down from ~19K yesterday.",MMM,0
05/13/2019,07:15:00,$MMM - 3M's Outsized Post-Earnings Drop Is A Warning ,MMM,0
05/12/2019,06:52:00,"3M Co $MMM Director Purchases $179,600.00 in Stock ",MMM,1
05/12/2019,06:50:00,"Insider Buying: 3M Co $MMM Director Purchases 1,000 Shares of Stock ",MMM,1
05/10/2019,11:29:00,"Gregory R. Page Purchases 1,000 Shares of 3M Co $MMM Stock  #stocks",MMM,1
05/09/2019,08:16:00,"Gregory R. Page Acquires 1,000 Shares of 3M Co $MMM Stock  #stocks",MMM,1
05/07/2019,15:43:00,"3M $MMM fell for the 8th day of 10, settling -2.1% to $179.12. This is around 20% lower since earnings, a pretty fi¡K ",MMM,0
05/06/2019,11:59:00,"3M $MMM opening seller 5,000 June $170 puts down to $1.63",MMM,0
05/06/2019,10:26:00,$MMM about to take out christmas low ,MMM,0
05/06/2019,04:01:00,Investment Analysts¡¦ Recent Ratings Updates for 3M $MMM  #stocks,MMM,1
04/30/2019,20:49:00,Investors Buy Shares of 3M $MMM on Weakness  #markets,MMM,1
04/30/2019,20:49:00,Investors Buy Shares of 3M $MMM on Weakness  #stocks,MMM,1
04/29/2019,23:23:00,3M $MMM Stock Rating Lowered by Argus ,MMM,0
04/29/2019,15:01:00,$MMM - 3M: A Dividend Trap For The Greedy Investor (Video) ,MMM,1
04/28/2019,08:08:00,Argus Downgrades 3M $MMM to Hold ,MMM,0
04/26/2019,12:02:00,Deutsche Bank Trims 3M $MMM Target Price to $183.00  #stocks,MMM,0
04/26/2019,09:52:00,Adding to $MMM short we raged 10 handles stk went now where.  Looking for it to take out yesterday's lows. ,MMM,1
04/26/2019,07:43:00,3M $MMM Downgraded by Bank of America to Neutral  #stocks,MMM,0
04/26/2019,05:25:00,Kudlow will tell Americans to BTFD $MMM $INTC $UPS $XOM ,MMM,1
04/26/2019,05:24:00,"$MMM $DJIA $SPX $COMP $AMZN:Ford Jumps, Profit Growth Picks Up, and More to Know for Friday:",MMM,1
04/26/2019,03:11:00,Bank Of America Downgrades 3M To A Neutral Rating From Buy $MMM,MMM,0
04/26/2019,03:08:00,BOFA/MERRILL LYNCH DOWNGRADES $MMM FROM BUY TO NEUTRAL,MMM,0
04/26/2019,02:34:00,$MMM - 3M Crash May Be The Shape Of Things To Come ,MMM,1
04/26/2019,01:21:00,Credit Suisse Cuts Price Target On 3M To $208 From $220 $MMM,MMM,1
04/25/2019,09:37:00,$MMM weak room to $192,MMM,1
04/25/2019,07:11:00,"$MMM was a look above and fail. It 'should' technically rotate down to range low. That said, it has a couple of ref¡K ",MMM,1
04/25/2019,06:55:00,DOWN WITH EARNINGS TODAY ALERT: $MMM 3M Co ?? TradeIdeas via  to FREE Trading Room,MMM,1
04/25/2019,06:22:00,"3M Company $MMM down 9% after earnings, causing Dow Jones to drop big.  Reverse effect for NASDAQ and Facebook $FB.",MMM,1
04/25/2019,05:59:00,S&P 500 futures are flat while Dow futures are down 55 bps on major weakness from 3M $MMM on earnings.¡K ,MMM,0
04/25/2019,04:28:00,"$MMM 3M to cut 2,000 jobs globally, slashes its 2019 profit outlook     ",MMM,1
04/25/2019,04:30:00,3M #CEO says 'the first quarter was a disappointing start to the year' $MMM ,MMM,1
04/25/2019,03:42:00,$MMM is breaking down in pre-market following earnings miss and guidance cut. ,MMM,0
04/23/2019,23:53:00,3M $MMM Set to Announce Quarterly Earnings on Thursday ,MMM,1
04/23/2019,13:03:00,$MMM +5.28% This one could run a bit more to catch up to last year's open like the rest of the market.,MMM,1
04/23/2019,05:04:00,US expands probe into air bag failures to 12.3M vehicles $MMM #MMM #Automobilesafety #Productsafety¡K ,MMM,1
04/18/2019,19:21:00,Zacks: Analysts Anticipate 3M Co $MMM to Post $2.50 Earnings Per Share ,MMM,1
04/18/2019,19:19:00,Zacks: Analysts Anticipate 3M Co $MMM to Post $2.50 Earnings Per Share  #stocks,MMM,1
04/17/2019,22:43:00,3M $MMM to Release Earnings on Thursday  #stocks,MMM,1
04/14/2019,05:40:00,3M $MMM Raised to Hold at Zacks Investment Research ,MMM,1
04/12/2019,03:43:00,683 Capital Management LLC Trimmed Its 3M Co $Put $MMM Holding as Valuation Rose  ,MMM,0
04/11/2019,08:06:00,Zacks Investment Research Upgrades 3M $MMM to Hold   #markets,MMM,1
04/11/2019,08:04:00,3M $MMM Upgraded to Hold at Zacks Investment Research ,MMM,1
04/08/2019,15:51:00,Investors Buy Shares of 3M $MMM on Weakness ,MMM,1
04/06/2019,07:55:00,3M $MMM Cut to ¡§Sell¡¨ at Zacks Investment Research  #stocks,MMM,0
04/06/2019,04:32:00,3M Co $MMM Share Value Rose While Wells Fargo & Company Has Trimmed Position  ,MMM,0
04/04/2019,20:47:00,3M $MMM PT Lowered to $188.00 at Barclays ,MMM,0
04/04/2019,16:51:00,"Insider Selling: 3M Co $MMM Chairman Sells $1,218,214.14 in Stock ",MMM,0
04/04/2019,06:44:00,"As 3M Co $MMM Shares Rose, Holder Peapack Gladstone Financial Corp Raised Holding  ",MMM,1
04/03/2019,09:08:00,Barclays Trims 3M $MMM Target Price to $188.00  #stocks,MMM,0
04/03/2019,01:16:00,"Inge G. Thulin Sells 5,863 Shares of 3M Co $MMM Stock   #markets",MMM,0
04/03/2019,00:04:00,3M $MMM PT Lowered to $188 at Barclays ,MMM,0
04/02/2019,01:33:00,"3M Co $MMM Chairman Sells $1,218,214.14 in Stock  #stocks",MMM,0
03/31/2019,10:40:00,3M Co $MMM Expected to Announce Quarterly Sales of $8.11 Billion   #markets,MMM,1
03/31/2019,10:39:00,3M Co $MMM Expected to Announce Quarterly Sales of $8.11 Billion ,MMM,1
03/31/2019,01:55:00,JPMorgan Chase & Co. Lowers 3M $MMM Price Target to $154.00  #stocks,MMM,1
03/31/2019,01:53:00,3M $MMM PT Lowered to $154.00 at JPMorgan Chase & Co. ,MMM,0
03/30/2019,07:16:00,3M $MMM Price Target Cut to $154.00 by Analysts at JPMorgan Chase & Co. ,MMM,0
03/29/2019,15:39:00,3M $MMM PT Lowered to $154.00 at JPMorgan Chase & Co.  #stocks,MMM,0
03/29/2019,14:39:00,Want to play catch-up to the rally? @Michael_Khouw says $MMM could be your best bet ,MMM,1
03/29/2019,14:33:00,"If you want to catch the rally, Carter and @Michael_Khouw say 3M is the Dow stock to buy $MMM ",MMM,1
03/29/2019,07:06:00,$MMM if it were not for window dressing stk would be down 2 / 3 bucks right now.. Weal relative to the tape,MMM,1
03/28/2019,14:13:00,Roof Eidam & Maycock Stake in 3M Co $MMM Has Trimmed by $1.59 Million as Stock Price Rose; Shaw Communications $SJR¡K ,MMM,0
03/28/2019,03:58:00,"As 3M Company $MMM Market Valuation Rose, Holder Oakbrook Investments Has Upped Position; Tekla Capital Management¡K ",MMM,1
03/27/2019,22:11:00,3M Co $MMM Expected to Post Quarterly Sales of $8.11 Billion  #stocks,MMM,1
03/27/2019,13:15:00,"$DWDP $CC $MMM - DuPont, Chemours, 3M sued by New Jersey for costs related to PFAS cleanup ",MMM,1
03/27/2019,09:21:00,Saturna Capital Has Trimmed Its 3M $MMM Stake by $11.42 Million; Stock Price Rose; Liberty Capital Management Has T¡K ,MMM,0
03/27/2019,03:32:00,Apg Asset Management Nv Has Lowered Its 3M Co $MMM Holding by $1.31 Million; As Procter & Gamble Co $PG Valuation R¡K ,MMM,0
03/26/2019,21:21:00,Zacks: Brokerages Expect 3M Co $MMM to Post $2.50 EPS ,MMM,1
03/26/2019,21:17:00,Zacks: Brokerages Expect 3M Co $MMM to Post $2.50 EPS  #stocks,MMM,1
03/26/2019,08:48:00,"3M Co $MMM Valuation Rose While Wms Partners Has Trimmed by $301,340 Its Holding; Ralph Lauren $RL Holding Held by¡K ",MMM,0
03/26/2019,05:53:00,Wedbush Securities Raised Its 3M Company $MMM Position; Hd Supply Hldgs $HDS Share Value Rose While Marathon Partne¡K ,MMM,1
03/26/2019,03:41:00,"Cliftonlarsonallen Wealth Advisors Trimmed 3M Co $MMM Holding by $713,640; Share Price Rose; United Technologies Co¡K ",MMM,0
03/24/2019,05:33:00,Grantham Mayo Van Otterloo & Co LLC Upped 3M Co $MMM Stake by $147.49 Million  ,MMM,1
03/22/2019,12:09:00,3M $MMM Price Target Cut to $199.00 by Analysts at Morgan Stanley  #stocks,MMM,0
03/21/2019,07:36:00,Peapack Gladstone Financial Corp Raised Holding in 3M Co $MMM by $12.56 Million ,MMM,1
03/19/2019,19:12:00,$MMM - 3M: This Dividend Royal Will Crush The Market In The Next 5 Years ,MMM,1
03/19/2019,04:54:00,Jefferies Financial Group Lowers 3M FY2019 Earnings Estimates to $10.45 EPS (Previously $10.85).  $MMM #MMM,MMM,1
03/17/2019,22:34:00,William Blair Raises 3M Q3 2019 Earnings Estimates to $2.76 EPS (Previously $2.74).  $MMM #MMM,MMM,1
03/17/2019,08:23:00,3M Company $MMM Shares Rose While Vestor Capital LLC Has Lowered Its Holding by $4.18 Million  ,MMM,0
03/17/2019,08:22:00,"As 3M Company $MMM Valuation Rose, Holder Vestor Capital LLC Lowered Stake ",MMM,0
03/15/2019,22:39:00,Q1 2019 EPS Estimates for 3M Co $MMM Lowered by William Blair ,MMM,0
03/15/2019,01:46:00,Head to Head Survey: ABIOMED $ABMD vs. 3M $MMM ,MMM,1
03/13/2019,04:06:00,"As 3M Co $Put $MMM Stock Price Rose, Shareholder 683 Capital Management LLC Has Lowered Position by $6.65 Million  ",MMM,0
03/13/2019,04:06:00,683 Capital Management LLC Has Lowered Its Position in 3M Co $Put $MMM by $6.65 Million as Share Price Rose ,MMM,0
03/09/2019,15:07:00,3M Co $MMM Expected to Announce Earnings of $2.59 Per Share ,MMM,1
03/09/2019,06:08:00,Vestor Capital LLC Holding in 3M Company $MMM Trimmed by $4.18 Million  ,MMM,0
03/05/2019,16:21:00,$MU $MMM $FB $GOOGL:Cramer: Why Trump could decide to walk away from a trade deal with China:,MMM,1
03/03/2019,15:58:00,MINCO GOLD CORPORATION $MMM Is Yet to See Trading Action on Mar 3 ,MMM,1
03/01/2019,06:18:00,$MMM $XEL:3M pledges to power HQ with all-renewable energy:,MMM,1
02/28/2019,05:12:00,Mmm Co. $MMM Holder Mairs & Power INC Has Upped Stake by $31.85 Million ,MMM,1
02/24/2019,05:43:00,Head to Head Contrast: 3M $MMM versus LeMaitre Vascular $LMAT ,MMM,1
02/24/2019,04:08:00,"As Mmm Co. $MMM Stock Value Declined, Mairs & Power INC Raised Holding by $31.85 Million  ",MMM,1
02/23/2019,06:11:00,Davidson D A & Company Raised 3M Co $MMM Position by $3.96 Million  ,MMM,1
02/21/2019,23:59:00,Traders Sell Shares of 3M $MMM on Strength on Insider Selling  #markets,MMM,0
02/21/2019,23:59:00,Traders Sell Shares of 3M $MMM on Strength on Insider Selling  #stocks,MMM,0
02/20/2019,16:43:00,Investors Sell 3M $MMM on Strength After Insider Selling ,MMM,0
02/19/2019,12:22:00,"3M Co $MMM EVP Sells $1,015,148.10 in Stock  #stocks",MMM,0
02/18/2019,22:56:00,3M Co $MMM Expected to Announce Quarterly Sales of $8.29 Billion  #stocks,MMM,1
02/17/2019,16:21:00,$MMM Bacardi employees go Back to the Bar to get closer to consumers  ,MMM,1
